"id";"ss";"seite";"autor_vorname";"autor_nachname";"titel";"verlag";"ort";"jahr";"verlag_2";"ort_2";"jahr_2";"weitere";"volltext";"status"
74938;0;143;"Oskar";"Stillich";"Deutschland als Sieger!";"Oldenburg";"Leipzig";"1924";;;;;"Stillich, Oskar: Deutschland als Sieger! Leipzig: Oldenburg 1924.";"parsed"
74937;0;143;"Oskar";"Stillich";"Ausbeutungssysteme";"Thüring. Verl.Anst.";"Jena";"1925";;;;;"Stillich, Oskar: Ausbeutungssysteme. Jena: Thüring. Verl.Anst. 1925.";"parsed"
74936;0;143;"Edward";"Stilgebauer";"Sämtliche Schriften";;;;;;;;"Stilgebauer, Edward: Sämtliche Schriften.";"parsed"
74935;1;143;"A.";"Stezki";"Die Verfassung des sozialistischen Staates";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1936";;;;;"Stezki, A.: Die Verfassung des sozialistischen Staates. Moskau: Verlagsgen. ausländ. Arbeiter 1936.";"parsed"
74934;1;143;"A.";"Stezki";"W. J. Lenin";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1934";;;;;"Stezki, A.: W. J. Lenin. Moskau: Verlagsgen. ausländ. Arbeiter 1934.";"parsed"
74933;0;143;"A.";"Stezki";"Lenin über den Sowjetstaat";"Verlagsgen. ausländ. Arbeiter";"Moskau";"1935";;;;;"Stezki, A.: Lenin über den Sowjetstaat. Moskau: Verlagsgen. ausländ. Arbeiter 1935.";"parsed"
74932;0;143;"Robert Louis";"Stevenson";"Der Selbstmörderklub";;;;;;;"Sämtl. Ausgaben";"Stevenson, Robert Louis: Der Selbstmörderklub. Sämtl. Ausgaben.";"parsed"
74931;1;143;"Ernst";"Stettenheimer";"Erdachtes, Erlebtes";"Verl. Die Gestaltung";"Zürich";"1938";;;;;"Stettenheimer, Ernst: Erdachtes, Erlebtes. Zürich: Verl. Die Gestaltung 1938.";"parsed"
74929;0;143;"Fritz";"Sternberg";"Sämtliche Schriften";;;;;;;;"Sternberg, Fritz: Sämtliche Schriften.";"parsed"
74930;0;143;"Karl";"Sternheim";"Sämtliche Schriften";;;;;;;;"Sternheim, Karl: Sämtliche Schriften.";"parsed"
74928;0;143;"Maurice Reinhold von";"Stern";"Sämtliche Schriften";;;;;;;;"Stern, Maurice Reinhold von: Sämtliche Schriften.";"parsed"
74927;0;143;"Josef Luitpold";"Stern";"Sämtliche Schriften";;;;;;;;"Stern, Josef Luitpold: Sämtliche Schriften.";"parsed"
74926;0;143;"Bernhard";"Stern";"Russische Grausamkeit einst u. jetzt";"Barsdorf";"Berlin";"1929";;;;;"Stern, Bernhard: Russische Grausamkeit einst u. jetzt. Berlin: Barsdorf 1929.";"parsed"
